Namespace(batch_size=32, dataset='knu', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='KNU_cls_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, output_channels=18, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.929027, train acc: 0.230529, train avg acc: 0.071661
Test 0, loss: 2.491605, test acc: 0.274280, test avg acc: 0.063537
Train 1, loss: 2.364974, train acc: 0.353606, train avg acc: 0.106859
Test 1, loss: 2.216059, test acc: 0.442903, test avg acc: 0.121445
Train 2, loss: 2.222429, train acc: 0.426923, train avg acc: 0.139928
Test 2, loss: 2.132798, test acc: 0.484525, test avg acc: 0.147737
Train 3, loss: 2.115145, train acc: 0.477885, train avg acc: 0.165168
Test 3, loss: 2.009506, test acc: 0.547492, test avg acc: 0.177198
Train 4, loss: 2.029021, train acc: 0.506010, train avg acc: 0.183714
Test 4, loss: 1.942968, test acc: 0.581644, test avg acc: 0.218412
Train 5, loss: 1.955719, train acc: 0.548077, train avg acc: 0.212983
Test 5, loss: 1.848799, test acc: 0.607257, test avg acc: 0.255324
Train 6, loss: 1.893657, train acc: 0.580769, train avg acc: 0.246551
Test 6, loss: 1.839979, test acc: 0.627535, test avg acc: 0.289629
Train 7, loss: 1.837085, train acc: 0.604087, train avg acc: 0.266010
Test 7, loss: 1.820333, test acc: 0.568837, test avg acc: 0.230120
Train 8, loss: 1.818353, train acc: 0.615144, train avg acc: 0.280605
Test 8, loss: 1.809152, test acc: 0.631804, test avg acc: 0.304490
Train 9, loss: 1.767928, train acc: 0.642308, train avg acc: 0.307151
Test 9, loss: 2.113045, test acc: 0.483458, test avg acc: 0.207765
Train 10, loss: 1.745438, train acc: 0.657933, train avg acc: 0.331114
Test 10, loss: 1.759567, test acc: 0.655283, test avg acc: 0.331525
Train 11, loss: 1.721852, train acc: 0.666346, train avg acc: 0.342202
Test 11, loss: 1.813305, test acc: 0.628602, test avg acc: 0.336403
Train 12, loss: 1.682922, train acc: 0.692548, train avg acc: 0.370870
Test 12, loss: 1.741179, test acc: 0.651014, test avg acc: 0.302605
Train 13, loss: 1.672057, train acc: 0.700721, train avg acc: 0.381771
Test 13, loss: 1.636901, test acc: 0.689434, test avg acc: 0.340334
Train 14, loss: 1.655095, train acc: 0.708894, train avg acc: 0.387081
Test 14, loss: 1.709529, test acc: 0.667022, test avg acc: 0.346729
Train 15, loss: 1.638803, train acc: 0.718269, train avg acc: 0.399086
Test 15, loss: 1.643502, test acc: 0.703308, test avg acc: 0.370933
Train 16, loss: 1.619952, train acc: 0.728606, train avg acc: 0.406005
Test 16, loss: 1.702716, test acc: 0.667022, test avg acc: 0.375309
