---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                         Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    CPU Mem          Self CPU Mem     CUDA Mem         Self CUDA Mem    Number of Calls  Input Shapes                                   
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
train_forward                7.12%            281.447ms        100.00%          3.953s           3.953s           31.96%           23.317s          23.317s          40 b             -2.00 Mb         3.11 Gb          -380.53 Mb       1                []                                             
Scatter                      0.00%            151.300us        0.01%            283.200us        283.200us        0.00%            23.552us         23.552us         0 b              0 b              0 b              0 b              1                []                                             
chunk                        0.00%            38.900us         0.00%            128.500us        128.500us        0.00%            19.456us         19.456us         0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
size                         0.00%            3.100us          0.00%            3.100us          3.100us          0.00%            2.048us          2.048us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
split                        0.00%            42.300us         0.00%            86.500us         86.500us         0.00%            14.336us         14.336us         0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
size                         0.00%            2.400us          0.00%            2.400us          2.400us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
narrow                       0.00%            22.200us         0.00%            41.800us         41.800us         0.00%            8.192us          8.192us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
size                         0.00%            2.000us          0.00%            2.000us          2.000us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
slice                        0.00%            12.800us         0.00%            17.600us         17.600us         0.00%            4.064us          4.064us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
as_strided                   0.00%            4.800us          0.00%            4.800us          4.800us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
to                           0.00%            3.400us          0.00%            3.400us          3.400us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
size                         0.00%            2.400us          0.00%            2.400us          2.400us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
clone                        0.00%            51.400us         0.00%            114.300us        114.300us        0.00%            15.360us         15.360us         0 b              0 b              192.00 Kb        0 b              1                [[16, 3, 1024]]                                
empty_strided                0.00%            15.800us         0.00%            15.800us         15.800us         0.00%            3.072us          3.072us          0 b              0 b              192.00 Kb        192.00 Kb        1                []                                             
copy_                        0.00%            47.100us         0.00%            47.100us         47.100us         0.00%            6.144us          6.144us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024], [16, 3, 1024]]                 
size                         0.00%            2.500us          0.00%            2.500us          2.500us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
slice                        0.00%            20.000us         0.00%            23.000us         23.000us         0.00%            5.120us          5.120us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
as_strided                   0.00%            3.000us          0.00%            3.000us          3.000us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
size                         0.00%            1.800us          0.00%            1.800us          1.800us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
slice                        0.00%            10.600us         0.00%            13.100us         13.100us         0.00%            5.120us          5.120us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
as_strided                   0.00%            2.500us          0.00%            2.500us          2.500us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
size                         0.00%            1.600us          0.00%            1.600us          1.600us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
slice                        0.00%            10.200us         0.00%            12.500us         12.500us         0.00%            6.144us          6.144us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
as_strided                   0.00%            2.300us          0.00%            2.300us          2.300us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 1024]]                                
size                         0.00%            1.700us          0.00%            1.700us          1.700us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
size                         0.00%            1.800us          0.00%            1.800us          1.800us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
view                         0.00%            40.600us         0.00%            40.600us         40.600us         0.00%            3.072us          3.072us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
transpose                    0.00%            25.400us         0.00%            28.600us         28.600us         0.00%            6.144us          6.144us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
as_strided                   0.00%            3.200us          0.00%            3.200us          3.200us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
matmul                       0.00%            122.200us        5.11%            201.942ms        201.942ms        0.28%            200.797ms        200.797ms        0 b              0 b              1.00 Mb          -48.00 Kb        1                [[16, 128, 3], [16, 3, 128]]                   
size                         0.00%            2.400us          0.00%            2.400us          2.400us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 128, 3]]                                 
size                         0.00%            1.700us          0.00%            1.700us          1.700us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 128, 3]]                                 
size                         0.00%            1.600us          0.00%            1.600us          1.600us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
size                         0.00%            1.700us          0.00%            1.700us          1.700us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
expand                       0.00%            26.600us         0.00%            29.700us         29.700us         0.00%            5.120us          5.120us          0 b              0 b              0 b              0 b              1                [[16, 128, 3]]                                 
as_strided                   0.00%            3.100us          0.00%            3.100us          3.100us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 128, 3]]                                 
contiguous                   0.00%            19.600us         0.00%            110.300us        110.300us        0.00%            22.528us         22.528us         0 b              0 b              24.00 Kb         0 b              1                [[16, 128, 3]]                                 
empty_like                   0.00%            15.300us         0.00%            28.900us         28.900us         0.00%            7.168us          7.168us          0 b              0 b              24.00 Kb         0 b              1                [[16, 128, 3]]                                 
empty                        0.00%            13.600us         0.00%            13.600us         13.600us         0.00%            5.120us          5.120us          0 b              0 b              24.00 Kb         24.00 Kb         1                []                                             
copy_                        0.00%            61.800us         0.00%            61.800us         61.800us         0.00%            12.288us         12.288us         0 b              0 b              0 b              0 b              1                [[16, 128, 3], [16, 128, 3]]                   
view                         0.00%            10.400us         0.00%            10.400us         10.400us         0.00%            3.072us          3.072us          0 b              0 b              0 b              0 b              1                [[16, 128, 3]]                                 
expand                       0.00%            11.300us         0.00%            14.100us         14.100us         0.00%            6.144us          6.144us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
as_strided                   0.00%            2.800us          0.00%            2.800us          2.800us          0.00%            1.024us          1.024us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
contiguous                   0.00%            7.800us          0.00%            39.500us         39.500us         0.00%            18.432us         18.432us         0 b              0 b              24.00 Kb         0 b              1                [[16, 3, 128]]                                 
empty_like                   0.00%            4.400us          0.00%            16.200us         16.200us         0.00%            7.168us          7.168us          0 b              0 b              24.00 Kb         0 b              1                [[16, 3, 128]]                                 
empty                        0.00%            11.800us         0.00%            11.800us         11.800us         0.00%            5.088us          5.088us          0 b              0 b              24.00 Kb         24.00 Kb         1                []                                             
copy_                        0.00%            15.500us         0.00%            15.500us         15.500us         0.00%            8.192us          8.192us          0 b              0 b              0 b              0 b              1                [[16, 3, 128], [16, 3, 128]]                   
